left_source_index,right_source_index,similarity
0,70,1.0
24,288,0.9968
24,25,0.9951
25,288,0.9946
2,4,0.945
3,4,0.9398
2,3,0.9376
15,16,0.8868
95,114,0.8
353,374,0.7779
91,124,0.7626
36,106,0.7506
78,85,0.7044
339,344,0.6893
135,252,0.6794
105,114,0.6735
265,334,0.6685
353,375,0.6552
279,284,0.6543
78,79,0.6372
