left_source_index,right_source_index,similarity
9,229,0.8658
179,231,0.8638
181,231,0.8032
5,14,0.7859
179,181,0.7842
231,233,0.7503
179,233,0.7441
216,233,0.7353
204,223,0.7321
23,26,0.726
26,28,0.7169
216,231,0.7121
23,24,0.7062
179,216,0.6999
187,225,0.6775
21,26,0.6745
23,28,0.6642
181,233,0.6512
24,26,0.6424
171,216,0.6412
