universe_rank,company_dir,company_name,ticker6,market,peer_group,semiconductor_tag,is_focal_5,market_data_available,data_quality_status,data_quality_status_kr,manual_review_priority,manual_review_priority_kr,valuation_proxy_score,valuation_proxy_label,valuation_proxy_label_kr,valuation_pred_label,valuation_confidence,valuation_confidence_bucket,valuation_confidence_bucket_kr,credit_risk_score,credit_proxy_label,credit_proxy_label_kr,credit_pred_label,credit_confidence,credit_confidence_bucket,credit_confidence_bucket_kr,credit_anomaly_score,credit_anomaly_flag_top15pct,auditor_requires_human_review,source_type,source_note,focus_reason,is_target
172,,에이치엠넥스,036170,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.621037037037037,FAIR,FAIR,FAIR,0.7433115072206052,HIGH,HIGH,0.3571428571428571,MEDIUM_RISK,중위험,MEDIUM_RISK,0.7084051764737881,HIGH,HIGH,0.3531105059628509,True,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
175,,오킨스전자,080580,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.6062222222222222,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8105235691914331,HIGH,HIGH,0.2142857142857142,MEDIUM_RISK,중위험,MEDIUM_RISK,0.5565647223385506,MEDIUM,MEDIUM,0.05131400931985753,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
160,,디아이,003160,KOSPI,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.5875555555555555,ATTRACTIVE,가치 매력,ATTRACTIVE,0.6560906263736197,MEDIUM,MEDIUM,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.7571818581431954,HIGH,HIGH,0.027510707117244317,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
174,,엑시콘,092870,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.5711111111111111,FAIR,FAIR,FAIR,0.7870958268046786,HIGH,HIGH,0.2142857142857142,MEDIUM_RISK,중위험,MEDIUM_RISK,0.6956414267155251,MEDIUM,MEDIUM,0.09079387845598708,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
177,,우리이앤엘하루틴,153490,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.5598518518518519,FAIR,FAIR,FAIR,0.803860880134826,HIGH,HIGH,0.1428571428571428,LOW_RISK,저위험,LOW_RISK,0.5263237628250668,MEDIUM,MEDIUM,0.12425981563248314,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
176,,와이씨,232140,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.5573333333333333,FAIR,FAIR,FAIR,0.5813875575219858,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.9779169949984006,HIGH,HIGH,0.027903490153269303,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
155,,기가비스,420770,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK_LIMITED_HISTORY_OR_GROWTH_NA,데이터 사용 가능,LOW,LOW,0.5544444444444445,FAIR,FAIR,FAIR,0.604283449323821,MEDIUM,MEDIUM,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.9462252670112353,HIGH,HIGH,0.34444594339538714,True,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
194,,해성디에스,195870,KOSPI,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.5333333333333333,FAIR,FAIR,FAIR,0.8942165906576592,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.7552918248784374,HIGH,HIGH,0.0,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
150,isc,ISC,095340,KOSDAQ GLOBAL,후공정/패키징/테스트,후공정/패키징/테스트,True,True,OK,데이터 사용 가능,LOW,LOW,0.5176296296296296,FAIR,FAIR,FAIR,0.5753148434947495,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.9755870924998499,HIGH,HIGH,0.14006921921799445,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
173,,에이팩트,200470,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,False,True,OK,데이터 사용 가능,LOW,LOW,0.5026666666666667,FAIR,FAIR,FAIR,0.8010795762920226,HIGH,HIGH,0.4285714285714285,HIGH_RISK,고위험,MEDIUM_RISK,0.40666664980482187,LOW,LOW,0.060282917359955154,False,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
