날짜,시가,고가,저가,종가,거래량,시가총액,수익률,시장수익률,이상수익률,최대낙폭,20일이동평균,60일이동평균,20일이평비율,60일이평비율,VIX,VKOSPI,EPS,PSR,누적이상수익률_3일,누적이상수익률_5일,기관_순매매,외국인_순매매,보유주수,보유율_%
2023-08-14,30640.270189606745,31187.41787156401,30292.085301088486,30988.455078125,373041,1521034261197.6348,0.011363722562546474,-0.007868717342637166,0.01923243990518364,-0.17483442172475153,33943.0513671875,32706.16572265625,0.9129543111165696,0.9474805252594511,14.819999694824219,,,118.19005395730693,-0.07826262452146804,-0.09333692234717983,22356.0,41061.0,9219442.0,18.78
2023-08-16,31137.675990733438,31535.6015625,30739.750418966876,31535.6015625,366473,1547890345069.1953,0.01765646215648986,-0.017593352657915062,0.03524981481440492,-0.16026491691909656,33833.621875,32678.808365885416,0.9320787966186372,0.9650168760566297,16.780000686645508,,,118.19005395730693,0.0633353550183896,-0.04332882065160948,67540.0,21429.0,9250667.0,18.85
2023-08-17,31237.157279265874,31834.045634920636,31187.41658296131,31336.638671875,354420,1538124470243.084,-0.006309151586364359,-0.002292407139627861,-0.004016744446736498,-0.16556293285064216,33736.62744140625,32660.5701171875,0.9288610346810882,0.9594639211574636,17.889999389648438,,,118.19005395730693,0.050465510272852065,-0.04702955415379961,37478.0,1648.0,9294092.0,18.94
2023-08-18,31087.934944737874,32381.193038438967,30690.00937744523,31784.3046875,348191,1560097664635.086,0.014285706272216814,-0.006091670957144357,0.02037737722936117,-0.15364241000669648,33609.78857421875,32648.1349609375,0.9456859455486419,0.973541206121849,17.299999237060547,,,118.19005395730693,0.051610447597029596,0.07969598780101428,-6510.0,56557.0,9350325.0,19.05
2023-08-21,32231.971313091482,32281.712009562303,31087.935294262617,31535.6015625,208957,1547890345069.1953,-0.007824714979459912,0.001716929058943828,-0.00954164403840374,-0.16026491691909672,33507.82021484375,32642.331901041667,0.9411415412969756,0.9660952427695171,17.1299991607666,,,118.19005395730693,0.006818988744220933,0.061301243463809496,23790.0,-13880.0,9336827.0,19.02
2023-08-22,31834.04541800643,32132.48959380024,30540.78732289992,30938.712890625,246252,1518592720590.8613,-0.018927454759092965,0.0027662393459739754,-0.02169369410506694,-0.17615896471373374,33410.82578125,32629.067708333332,0.9260086264610574,0.9481948171851499,16.969999313354492,,,118.19005395730693,-0.01085796091410951,0.020375109453558915,-2828.0,25102.0,9391809.0,19.13
2023-08-23,30640.268608414237,31336.638349514564,30491.046521035598,30739.75,160685,1508826845764.75,-0.006430871617975065,-0.0040703690660103264,-0.0023605025519647382,-0.18145698064527935,33283.9869140625,32610.000455729165,0.9235597309711848,0.942647947574604,15.979999542236328,,,118.19005395730693,-0.03359584069543542,-0.017235207912810746,-28559.0,36546.0,9428391.0,19.21
2023-08-24,31286.897975570435,31784.30493861607,30839.231708829364,31336.638671875,222211,1538124470243.084,0.019417486214917234,0.012843716479993939,0.006573769734923296,-0.16556293285064233,33221.81103515625,32583.472102864584,0.9432549790471595,0.9617341753189045,17.200000762939453,,,118.19005395730693,-0.017480426922108383,-0.006644693731150952,4511.0,34648.0,9463070.0,19.28
2023-08-25,30640.267578125,30640.267578125,30043.379248681005,30640.267578125,240758,1503943860418.1973,-0.02222226515873893,-0.0073059012806685475,-0.014916363878070382,-0.18410601461511586,33040.257421875,32559.43076171875,0.9273616481522617,0.941056611289096,15.680000305175781,,,118.19005395730693,-0.010703096695111824,-0.041938434838582506,-66653.0,37227.0,9500568.0,19.36
2023-08-28,30789.49131118067,30789.49131118067,29943.89946580091,30043.380859375,242243,1474646331806.8574,-0.019480466912636718,0.009634248420563818,-0.029114715333200536,-0.2000000104016255,32667.20224609375,32519.638216145835,0.9196802540066773,0.9238534776951675,15.079999923706055,,,118.19005395730693,-0.03745730947634762,-0.0615115061333793,-123396.0,44125.0,9544579.0,19.45
