날짜,시가,고가,저가,종가,거래량,시가총액,수익률,시장수익률,이상수익률,최대낙폭,20일이동평균,60일이동평균,20일이평비율,60일이평비율,VIX,VKOSPI,EPS,PSR,누적이상수익률_3일,누적이상수익률_5일,기관_순매매,외국인_순매매,보유주수,보유율_%
2023-08-14,245991.82191780824,249896.4540117417,245991.82191780824,249408.375,14522,1940039505890.25,-0.0019531214584941337,-0.007868717342637166,0.005915595884143032,-0.08912651617885169,261390.72265625,245105.15364583334,0.9541592466079687,1.0175566335107937,14.819999694824219,,56394.463413822035,58.21020735076094,-0.004187858956863688,-0.015259435231816831,-1770.0,3119.0,2257104.0,29.02
2023-08-16,249896.46666666667,249896.46666666667,233301.77942708333,234277.9375,42608,1822346399187.625,-0.06066531446668544,-0.017593352657915062,-0.043071961808770376,-0.14438494251422704,259804.46640625,245275.98151041666,0.9017471513890959,0.9551605340943276,16.780000686645508,,56394.463413822035,58.21020735076094,-0.04478023619044036,-0.041745314960887736,-8746.0,-2496.0,2255586.0,29.0
2023-08-17,234277.92012448132,236718.315125778,229397.13012188795,235254.078125,26289,1829939373464.4688,0.004166592191379603,-0.002292407139627861,0.0064589993310074645,-0.14081994349688,258242.6140625,245398.00104166666,0.9109808579774664,0.9586633840797085,17.889999389648438,,56394.463413822035,58.21020735076094,-0.03069736659361988,-0.0408008214346266,3920.0,-4128.0,2256951.0,29.02
2023-08-18,229885.23069078947,236718.3373355263,225980.59832236843,231837.546875,34672,1803363659645.2812,-0.014522729115814315,-0.006091670957144357,-0.008431058158669957,-0.15329758271918478,256461.12421875,245438.67447916666,0.9039870958268623,0.9445844155040808,17.299999237060547,,56394.463413822035,58.21020735076094,-0.04504402063643287,-0.04675229501810285,-3200.0,-3750.0,2254921.0,28.99
2023-08-21,234766.02022058825,235742.17830882352,229397.15073529413,232325.625,23472,1807160207553.75,0.002105259185058328,0.001716929058943828,0.0003883301261145,-0.1515150546781933,254948.07890625,245495.6171875,0.9112664272533358,0.9463534529113761,17.1299991607666,,56394.463413822035,58.21020735076094,-0.0015837287015479928,-0.038740094626175337,5480.0,-5602.0,2259292.0,29.05
2023-08-22,234277.92902542374,236718.32411943856,226956.74374337925,230373.296875,30034,1791973894379.7812,-0.008403412774634744,0.0027662393459739754,-0.01116965212060872,-0.15864522390679586,253337.4171875,245503.75182291667,0.9093536179240993,0.938369760805813,16.969999313354492,,56394.463413822035,58.21020735076094,-0.019212380153164177,-0.05582534263092709,-11804.0,9132.0,2268420.0,29.16
2023-08-23,226956.75,229885.2241935484,224028.27580645162,226956.75,30005,1765398059020.5,-0.014830481315956545,-0.0040703690660103264,-0.010760112249946219,-0.17112292019373693,251433.909375,245479.34791666668,0.9026497283686042,0.9245451885306678,15.979999542236328,,56394.463413822035,58.21020735076094,-0.02154143424444044,-0.02351349307210293,-8041.0,7544.0,2267652.0,29.15
2023-08-24,232813.69287420384,233789.85091560512,226956.7446257962,229885.21875,15968,1788177346471.3125,0.012903201821492516,0.012843716479993939,5.9485341498577426e-05,-0.16042775194778736,249920.86328125,245446.80911458333,0.9198320449593568,0.9365989298426014,17.200000762939453,,56394.463413822035,58.21020735076094,-0.02187027902905636,-0.029913007061611818,633.0,-816.0,2272339.0,29.21
2023-08-25,224516.35573814655,226956.75090921336,222564.0396012931,226468.671875,26939,1761601511112.0312,-0.014861968479650267,-0.0073059012806685475,-0.00755606719898172,-0.17290544823472842,248090.5671875,245471.21302083333,0.9128467657693782,0.922587496464522,15.680000305175781,,56394.463413822035,58.21020735076094,-0.01825669410742936,-0.02903801610192358,-11761.0,11674.0,2276698.0,29.27
2023-08-28,228420.98220198674,228420.98220198674,219635.55980960265,221099.796875,30488,1719839362578.7812,-0.023706921383648938,0.009634248420563818,-0.033341169804212756,-0.19251331375027206,245454.94140625,245324.78932291668,0.900775497157582,0.9012533852988263,15.079999923706055,,56394.463413822035,58.21020735076094,-0.0408377516616959,-0.06276751603225084,-20218.0,7977.0,2284657.0,29.37
