year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,rnd,capex,ocf,fcf,interest_expense,roe,operating_margin,current_ratio_%,debt_ratio,interest_coverage,sales_growth
2021,768688180555.0,197684583161.0,158670881601.0,1197174769029.0,429305067616.0,767869701413.0,411301736920.0,199711858483.0,,122390887346,143216285623,20825398277,5773295459.0,20.66377685029385,25.71713578557561,205.94757869874365,55.90858277465718,34.24120323736925,
2022,885470791861.0,185990108464.0,166977755320.0,1253310602636.0,400814014226.0,852496588410.0,386120253270.0,153669789765.0,,111978081737,173619763063,61641681326,5008160484.0,19.58691185280071,21.00465765483956,251.26620779560875,47.01649480774607,37.137409845031634,15.192455700526297
2023,771654641559.0,124144351473.0,108690123238.0,1350979663141.0,409492209835.0,941487453306.0,367414633780.0,247816973238.0,23480000000.0,159253869382,144112563274,-15141306108,5809127766.0,11.544511066646557,16.08807163035875,148.26047989341717,43.494175986847466,21.370566541779173,-12.853744171819814
2024,776356975793.0,128825376120.0,124893890949.0,1464678817159.0,393235114115.0,1071443703044.0,348048080154.0,272370414176.0,25941000000.0,111150240109,162357290592,51207050483,5328735362.0,11.65659853095157,16.593574880732277,127.78483346179395,36.70142565566521,24.175600281949222,0.6093832630229112
