record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020210037483|1028235110000|기판처리장치 및 이를 이용한 기판처리방법|주식회사 원익아이피에스,기판처리장치 및 이를 이용한 기판처리방법,주식회사 원익아이피에스,1020210037483,1020220132322,1028235110000,등록,2021,2022,2025,H10P; C23C; H01J,,공정; 기판; 반도체,False,True,False,39.5,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,72
1020180101769|1025153910000|반도체 소자의 제조방법|주식회사 원익아이피에스,반도체 소자의 제조방법,주식회사 원익아이피에스,1020180101769,1020200026341,1025153910000,등록,2018,2020,2023,H10P; G03F,,공정; 기판; 반도체; 소자,False,True,False,37.0,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,73
1020220123389|1029637720000|기판지지장치 및 이를 포함하는 기판처리장치|주식회사 원익아이피에스,기판지지장치 및 이를 포함하는 기판처리장치,주식회사 원익아이피에스,1020220123389,1020240044087,1029637720000,등록,2022,2024,2026,H10P; H01J; C23C,,공정; 기판,False,True,False,36.5,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,26
"1020160158070|1021792810000|박막 증착 장치, 이를 포함하는 기판 처리 시스템 및 박막 증착 방법|주식회사 원익아이피에스","박막 증착 장치, 이를 포함하는 기판 처리 시스템 및 박막 증착 방법",주식회사 원익아이피에스,1020160158070,1020180059609,1021792810000,등록,2016,2018,2020,H10P; H05H; H01J,,공정; 기판; 반도체,False,True,False,35.5,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,65
1020220177147|1028966840000|실리콘 산화막 형성 방법|주식회사 원익아이피에스,실리콘 산화막 형성 방법,주식회사 원익아이피에스,1020220177147,1020240095653,1028966840000,등록,2022,2024,2025,H10P; C23C,,공정; 기판,False,True,False,35.0,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,60
1020240044669|1028603480000|기판처리방법|주식회사 원익아이피에스,기판처리방법,주식회사 원익아이피에스,1020240044669,,1028603480000,등록,2024,2025,2025,H10P; H01J,,공정; 기판,False,True,False,35.0,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,81
1020210161466|1029628030000|기판 처리 장치|주식회사 원익아이피에스,기판 처리 장치,주식회사 원익아이피에스,1020210161466,1020230075152,1029628030000,등록,2021,2023,2026,C23C,,공정; 기판,False,True,False,33.5,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,27
1020220075533|1029096190000|도어조립체 및 이를 구비하는 기판처리장치|주식회사 원익아이피에스,도어조립체 및 이를 구비하는 기판처리장치,주식회사 원익아이피에스,1020220075533,1020230174512,1029096190000,등록,2022,2023,2026,H10P,,공정; 기판,False,True,False,33.5,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,31
1020220125969|1028974230000|기판처리방법|주식회사 원익아이피에스,기판처리방법,주식회사 원익아이피에스,1020220125969,1020240046948,1028974230000,등록,2022,2024,2025,H10D; H10B; H10P,,기판,False,True,False,33.5,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,49
1020210185241|1028569070000|서셉터 및 그를 포함하는 기판처리장치|주식회사 원익아이피에스,서셉터 및 그를 포함하는 기판처리장치,주식회사 원익아이피에스,1020210185241,1020230095599,1028569070000,등록,2021,2023,2025,H10P,,공정; 기판,False,True,False,33.5,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,67
