left_source_index,right_source_index,similarity
10,17,0.7706
10,13,0.3983
13,17,0.3892
8,13,0.2948
8,17,0.2753
4,21,0.2684
8,10,0.2675
4,17,0.2227
4,10,0.2214
4,19,0.2067
4,18,0.2033
4,13,0.2003
19,21,0.1984
13,18,0.186
10,18,0.1828
11,13,0.1821
17,18,0.1811
9,18,0.1765
0,26,0.1747
10,12,0.1724
