universe_rank,company_dir,company_name,ticker6,market,peer_group,semiconductor_tag,is_focal_5,market_data_available,data_quality_status,data_quality_status_kr,manual_review_priority,manual_review_priority_kr,valuation_proxy_score,valuation_proxy_label,valuation_proxy_label_kr,valuation_pred_label,valuation_confidence,valuation_confidence_bucket,valuation_confidence_bucket_kr,credit_risk_score,credit_proxy_label,credit_proxy_label_kr,credit_pred_label,credit_confidence,credit_confidence_bucket,credit_confidence_bucket_kr,credit_anomaly_score,credit_anomaly_flag_top15pct,auditor_requires_human_review,source_type,source_note,focus_reason,is_target
138,wonik_materials,원익머트리얼즈,104830,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.6682051282051282,FAIR,FAIR,FAIR,0.9160049727267536,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.9269592012859288,HIGH,HIGH,0.08809933839296093,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,TARGET,True
139,woldex,월덱스,101160,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.745897435897436,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9476922450763601,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9681016473230849,HIGH,HIGH,0.15527064195126172,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
147,,퓨릿,445180,KOSDAQ,소재,소재,False,True,OK_LIMITED_HISTORY_OR_GROWTH_NA,데이터 사용 가능,LOW,LOW,0.7448717948717948,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8817607106455689,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.9587686707140917,HIGH,HIGH,0.09055441585311619,False,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
141,enf_tech,이엔에프테크놀로지,102710,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.7061538461538462,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9371627732042065,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.8730332003988217,HIGH,HIGH,0.01762692878431683,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
130,,솔브레인홀딩스,036830,KOSDAQ GLOBAL,소재,소재,False,True,OK,데이터 사용 가능,LOW,LOW,0.6666666666666667,ATTRACTIVE,가치 매력,ATTRACTIVE,0.5229115612060397,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.8942479649490351,HIGH,HIGH,0.13058276838656327,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
148,hansol,한솔케미칼,014680,KOSPI,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.6330769230769231,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8364696976606926,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9711543901439185,HIGH,HIGH,0.058190310497948615,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
140,,이녹스첨단소재,272290,KOSDAQ GLOBAL,소재,소재,False,True,OK,데이터 사용 가능,LOW,LOW,0.6312820512820514,FAIR,FAIR,FAIR,0.900184891106931,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.7417939360948919,HIGH,HIGH,0.06763542968359648,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
133,ltc,엘티씨,170920,KOSDAQ,소재,소재,True,True,OK,데이터 사용 가능,LOW,LOW,0.5838461538461538,FAIR,FAIR,ATTRACTIVE,0.6353016273848794,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.9205018564538214,HIGH,HIGH,0.0038993876391341673,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
146,,티이엠씨,425040,KOSDAQ,소재,소재,False,True,OK,데이터 사용 가능,LOW,LOW,0.5666666666666668,FAIR,FAIR,FAIR,0.8720430887980049,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.7252297088077002,HIGH,HIGH,0.006424650558916757,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
131,,에스앤에스텍,101490,KOSDAQ,소재,소재,False,True,OK,데이터 사용 가능,LOW,LOW,0.5653846153846155,FAIR,FAIR,FAIR,0.7907123507381016,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.877704032267338,HIGH,HIGH,0.05130595484789171,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
142,,제이아이테크,417500,KOSDAQ,소재,소재,False,True,OK,데이터 사용 가능,LOW,LOW,0.5264102564102564,FAIR,FAIR,FAIR,0.8525733569966568,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.7562204122456074,HIGH,HIGH,0.026961826720125225,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
137,,원익QnC,074600,KOSDAQ GLOBAL,소재,소재,False,True,OK,데이터 사용 가능,LOW,LOW,0.5156410256410257,FAIR,FAIR,ATTRACTIVE,0.4211836082778998,LOW,LOW,0.2857142857142857,MEDIUM_RISK,중위험,MEDIUM_RISK,0.6182675579184692,MEDIUM,MEDIUM,0.07153695388648715,False,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
